type,nameOrig,nameDest,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,isFraud,creditCard,timestamp
DEBIT,Bob,John,5032.3,30856.13,25823.83,12509.3,17541.6,0,1234-5678-9012-0796,2024-06-02 16:29:14.519746
DEBIT,Charlie,Jane,5156.58,19570.57,14413.99,46105.7,51262.28,0,1234-5678-9012-0191,2024-01-13 16:29:14.519746
CASH_OUT,Alice,Bob,8480.83,34654.43,26173.6,36600.75,45081.58,0,1234-5678-9012-0226,2023-12-15 16:29:14.519746
CASH_IN,Eve,Charlie,9435.26,35387.57,25952.309999999998,46996.49,56431.75,1,1234-5678-9012-0952,2024-08-19 16:29:14.519746
DEBIT,David,Bob,4820.95,1546.55,-3274.3999999999996,27982.69,32803.64,0,1234-5678-9012-0195,2024-06-16 16:29:14.519746
PAYMENT,Bob,Charlie,8238.66,46336.61,38097.95,49409.68,57648.34,0,1234-5678-9012-0281,2024-01-10 16:29:14.519746
CASH_OUT,Alice,Eve,1346.68,1597.19,250.51,28812.28,30158.96,0,1234-5678-9012-0783,2024-04-22 16:29:14.519746
CASH_OUT,Bob,Eve,8094.65,23273.88,15179.230000000001,14942.7,23037.35,0,1234-5678-9012-0312,2024-07-28 16:29:14.519746
PAYMENT,David,Jane,6520.23,30496.9,23976.670000000002,28932.29,35452.520000000004,0,1234-5678-9012-0987,2024-06-01 16:29:14.519746
CASH_OUT,Eve,Jane,3827.83,6873.37,3045.54,20869.0,24696.83,1,1234-5678-9012-0559,2024-03-27 16:29:14.519746
PAYMENT,David,Charlie,8005.59,4755.68,-3249.91,41152.98,49158.57000000001,0,1234-5678-9012-0660,2024-02-07 16:29:14.519746
TRANSFER,David,Alice,8062.97,47286.07,39223.1,26348.93,34411.9,1,1234-5678-9012-0553,2023-10-10 16:29:14.519746
TRANSFER,Alice,John,530.9,15520.61,14989.710000000001,12936.52,13467.42,0,1234-5678-9012-0310,2024-04-25 16:29:14.519746
DEBIT,Charlie,Eve,7499.39,28613.46,21114.07,2240.98,9740.37,0,1234-5678-9012-0891,2024-04-05 16:29:14.519746
CASH_IN,Alice,Eve,9900.64,36566.12,26665.480000000003,44209.35,54109.99,1,1234-5678-9012-0063,2024-07-18 16:29:14.519746
TRANSFER,John,Jane,8635.45,42922.57,34287.119999999995,42971.35,51606.8,1,1234-5678-9012-0544,2023-12-13 16:29:14.519746
TRANSFER,Bob,John,1009.17,43251.41,42242.240000000005,14355.88,15365.05,0,1234-5678-9012-0271,2024-03-23 16:29:14.519746
DEBIT,Alice,Eve,8906.39,17286.38,8379.990000000002,19575.23,28481.62,0,1234-5678-9012-0974,2024-03-25 16:29:14.519746
DEBIT,Jane,Bob,1940.65,21666.1,19725.449999999997,37727.2,39667.85,0,1234-5678-9012-0426,2023-10-14 16:29:14.519746
PAYMENT,Bob,David,1328.89,44676.25,43347.36,21482.67,22811.559999999998,0,1234-5678-9012-0541,2024-06-19 16:29:14.519746
TRANSFER,Jane,Eve,3879.83,5327.54,1447.71,5250.48,9130.31,0,1234-5678-9012-0190,2023-12-31 16:29:14.519746
PAYMENT,Alice,Eve,7636.03,2706.71,-4929.32,45498.31,53134.34,0,1234-5678-9012-0919,2024-01-29 16:29:14.519746
CASH_OUT,David,John,4882.58,47887.75,43005.17,24986.32,29868.9,0,1234-5678-9012-0454,2023-12-07 16:29:14.519746
CASH_IN,Jane,Bob,6989.34,24913.23,17923.89,15894.74,22884.08,0,1234-5678-9012-0655,2024-06-05 16:29:14.519746
PAYMENT,Charlie,Bob,8737.04,41068.83,32331.79,29150.51,37887.55,0,1234-5678-9012-0108,2024-06-25 16:29:14.519746
CASH_IN,Bob,Alice,9456.43,35557.64,26101.21,36663.59,46120.02,1,1234-5678-9012-0064,2024-07-03 16:29:14.519746
TRANSFER,Jane,Charlie,6451.62,42709.08,36257.46,27888.96,34340.58,1,1234-5678-9012-0087,2024-06-23 16:29:14.519746
DEBIT,John,Jane,1281.93,217.91,-1064.02,40722.12,42004.05,0,1234-5678-9012-0786,2023-10-18 16:29:14.519746
CASH_IN,Eve,Bob,9284.55,8098.27,-1186.2799999999988,49801.22,59085.770000000004,1,1234-5678-9012-0325,2024-07-20 16:29:14.519746
DEBIT,Charlie,Alice,4716.55,2183.16,-2533.3900000000003,9586.02,14302.57,0,1234-5678-9012-0813,2024-05-07 16:29:14.520745
CASH_IN,Alice,David,2256.37,40898.37,38642.0,7788.37,10044.74,0,1234-5678-9012-0534,2023-12-07 16:29:14.520745
CASH_IN,Charlie,Bob,4355.13,39208.96,34853.83,35710.21,40065.34,0,1234-5678-9012-0931,2024-06-01 16:29:14.520745
PAYMENT,Charlie,Alice,4144.72,18680.93,14536.21,1057.38,5202.1,0,1234-5678-9012-0248,2024-01-06 16:29:14.520745
TRANSFER,Jane,David,2723.31,11212.22,8488.91,5149.2,7872.51,0,1234-5678-9012-0436,2024-09-13 16:29:14.520745
CASH_IN,Bob,David,3236.24,28243.23,25006.989999999998,38576.09,41812.329999999994,0,1234-5678-9012-0152,2024-03-28 16:29:14.520745
CASH_OUT,Jane,David,8247.22,26200.85,17953.629999999997,31781.81,40029.03,0,1234-5678-9012-0077,2023-09-30 16:29:14.520745
TRANSFER,David,Eve,2000.57,48672.92,46672.35,40460.21,42460.78,1,1234-5678-9012-0289,2024-05-23 16:29:14.520745
PAYMENT,David,Charlie,4146.59,25831.7,21685.11,19933.19,24079.78,0,1234-5678-9012-0681,2024-05-15 16:29:14.520745
DEBIT,Eve,David,1791.19,36260.85,34469.659999999996,24305.67,26096.859999999997,0,1234-5678-9012-0163,2024-09-18 16:29:14.520745
PAYMENT,Charlie,Bob,3970.06,22180.68,18210.62,16589.68,20559.74,0,1234-5678-9012-0666,2024-08-04 16:29:14.520745
DEBIT,Charlie,Alice,5586.97,42465.72,36878.75,1142.19,6729.16,0,1234-5678-9012-0485,2024-03-30 16:29:14.520745
CASH_OUT,David,Bob,3130.96,16351.36,13220.400000000001,14826.86,17957.82,0,1234-5678-9012-0388,2024-08-18 16:29:14.520745
TRANSFER,Jane,John,9384.51,28053.5,18668.989999999998,10432.35,19816.86,1,1234-5678-9012-0733,2023-11-14 16:29:14.520745
DEBIT,Charlie,John,9072.58,19394.27,10321.69,12561.1,21633.68,1,1234-5678-9012-0133,2024-04-19 16:29:14.520745
CASH_IN,Bob,Charlie,6666.96,10500.67,3833.71,34352.43,41019.39,0,1234-5678-9012-0909,2024-06-04 16:29:14.520745
CASH_OUT,Charlie,David,3716.89,35187.82,31470.93,47892.27,51609.159999999996,1,1234-5678-9012-0666,2023-12-28 16:29:14.520745
PAYMENT,David,Charlie,6096.72,18508.98,12412.259999999998,9945.67,16042.39,0,1234-5678-9012-0998,2024-09-03 16:29:14.520745
PAYMENT,Alice,Jane,9050.44,4863.53,-4186.910000000001,39550.65,48601.090000000004,1,1234-5678-9012-0629,2024-09-08 16:29:14.520745
CASH_OUT,Jane,Alice,7958.15,22577.28,14619.13,35798.65,43756.8,0,1234-5678-9012-0500,2024-04-08 16:29:14.520745
CASH_OUT,David,Jane,6784.01,28634.68,21850.67,44718.78,51502.79,0,1234-5678-9012-0806,2024-07-18 16:29:14.520745
CASH_IN,Jane,David,9289.91,13374.94,4085.0300000000007,48233.4,57523.31,1,1234-5678-9012-0951,2023-11-13 16:29:14.520745
CASH_OUT,Alice,John,490.57,35776.1,35285.53,31661.98,32152.55,0,1234-5678-9012-0707,2024-03-19 16:29:14.520745
TRANSFER,David,John,6789.46,5986.02,-803.4399999999996,32113.2,38902.66,1,1234-5678-9012-0474,2024-02-29 16:29:14.520745
PAYMENT,Bob,Charlie,9044.22,38966.34,29922.119999999995,12082.01,21126.23,1,1234-5678-9012-0379,2024-01-14 16:29:14.520745
CASH_OUT,Eve,David,3128.21,10335.89,7207.679999999999,2409.74,5537.95,0,1234-5678-9012-0710,2023-10-27 16:29:14.520745
DEBIT,John,Jane,6665.91,26965.46,20299.55,22015.01,28680.92,0,1234-5678-9012-0594,2023-11-27 16:29:14.520745
TRANSFER,Charlie,John,8999.57,48354.88,39355.31,7020.93,16020.5,1,1234-5678-9012-0897,2023-12-12 16:29:14.520745
PAYMENT,Jane,Eve,7198.2,44755.45,37557.25,21964.44,29162.64,0,1234-5678-9012-0851,2024-07-14 16:29:14.520745
TRANSFER,John,Bob,5331.41,6250.83,919.4200000000001,10750.01,16081.42,1,1234-5678-9012-0632,2024-08-13 16:29:14.520745
PAYMENT,Jane,John,1595.52,12912.83,11317.31,25631.1,27226.62,0,1234-5678-9012-0595,2023-10-27 16:29:14.520745
TRANSFER,Bob,David,1930.41,9520.85,7590.4400000000005,17211.68,19142.09,0,1234-5678-9012-0178,2024-02-16 16:29:14.520745
CASH_OUT,Charlie,Bob,6938.3,26143.76,19205.46,9797.6,16735.9,0,1234-5678-9012-0320,2024-07-25 16:29:14.520745
TRANSFER,Bob,David,2511.24,19446.94,16935.699999999997,8674.02,11185.26,0,1234-5678-9012-0938,2023-12-26 16:29:14.520745
CASH_OUT,Alice,Bob,3339.23,20777.67,17438.44,30097.24,33436.47,0,1234-5678-9012-0121,2023-10-31 16:29:14.520745
PAYMENT,Alice,Jane,8295.39,19359.13,11063.740000000002,34337.51,42632.9,0,1234-5678-9012-0235,2024-07-24 16:29:14.520745
TRANSFER,Eve,Jane,9945.47,44372.98,34427.51,13921.54,23867.010000000002,1,1234-5678-9012-0622,2024-02-05 16:29:14.520745
PAYMENT,Charlie,Jane,2902.71,6078.35,3175.6400000000003,49519.94,52422.65,0,1234-5678-9012-0839,2024-08-03 16:29:14.520745
PAYMENT,Eve,Bob,6536.28,30406.86,23870.58,6795.17,13331.45,0,1234-5678-9012-0711,2023-10-01 16:29:14.520745
CASH_OUT,Charlie,Jane,9283.33,28974.46,19691.129999999997,17132.63,26415.96,1,1234-5678-9012-0380,2024-04-07 16:29:14.520745
TRANSFER,David,Alice,890.54,47916.73,47026.19,46833.62,47724.16,1,1234-5678-9012-0235,2023-10-13 16:29:14.520745
PAYMENT,David,Jane,8485.55,34149.83,25664.280000000002,3567.73,12053.279999999999,0,1234-5678-9012-0648,2024-03-06 16:29:14.520745
CASH_IN,Charlie,Alice,2253.67,31.47,-2222.2000000000003,8613.18,10866.85,0,1234-5678-9012-0800,2024-07-17 16:29:14.520745
CASH_OUT,Bob,David,8475.13,37540.92,29065.79,36974.84,45449.969999999994,0,1234-5678-9012-0417,2024-02-13 16:29:14.520745
CASH_OUT,Jane,Charlie,5579.72,32822.36,27242.64,44065.28,49645.0,0,1234-5678-9012-0039,2024-02-02 16:29:14.520745
DEBIT,Charlie,Alice,9869.14,38803.3,28934.160000000003,24076.83,33945.97,1,1234-5678-9012-0697,2023-12-09 16:29:14.520745
CASH_IN,Alice,Eve,8737.59,24240.17,15502.579999999998,37086.45,45824.03999999999,0,1234-5678-9012-0097,2024-06-11 16:29:14.520745
CASH_OUT,Alice,Eve,2397.15,39033.41,36636.26,45691.62,48088.770000000004,0,1234-5678-9012-0939,2023-12-06 16:29:14.520745
TRANSFER,David,Jane,7408.06,48602.08,41194.020000000004,17308.54,24716.600000000002,1,1234-5678-9012-0887,2024-02-29 16:29:14.520745
TRANSFER,Bob,Eve,8214.45,39880.76,31666.31,49421.91,57636.36,1,1234-5678-9012-0131,2023-10-29 16:29:14.520745
DEBIT,Charlie,John,1970.55,12310.96,10340.41,11331.01,13301.56,0,1234-5678-9012-0055,2024-02-22 16:29:14.520745
PAYMENT,John,Jane,3705.26,29309.53,25604.269999999997,8419.76,12125.02,0,1234-5678-9012-0219,2023-11-26 16:29:14.520745
DEBIT,John,Jane,9921.73,10260.16,338.4300000000003,44324.44,54246.17,1,1234-5678-9012-0269,2023-12-05 16:29:14.520745
DEBIT,Alice,Eve,5332.82,9692.88,4360.0599999999995,12021.36,17354.18,0,1234-5678-9012-0350,2023-09-27 16:29:14.520745
TRANSFER,Eve,Jane,4652.87,23595.4,18942.530000000002,10920.38,15573.25,0,1234-5678-9012-0558,2024-06-30 16:29:14.520745
TRANSFER,Jane,Bob,521.61,9294.89,8773.279999999999,20552.02,21073.63,1,1234-5678-9012-0195,2024-05-07 16:29:14.521747
PAYMENT,Charlie,David,1303.02,13828.37,12525.35,2990.61,4293.63,0,1234-5678-9012-0386,2023-10-05 16:29:14.521747
PAYMENT,Charlie,Bob,6426.08,29922.5,23496.42,48756.23,55182.310000000005,0,1234-5678-9012-0575,2023-11-19 16:29:14.521747
DEBIT,David,Eve,9937.88,49971.12,40033.240000000005,41856.47,51794.35,1,1234-5678-9012-0043,2024-07-09 16:29:14.521747
DEBIT,Charlie,Bob,4104.84,7841.48,3736.6399999999994,48988.1,53092.94,1,1234-5678-9012-0733,2024-09-13 16:29:14.521747
CASH_IN,David,Bob,3586.3,46173.64,42587.34,33494.42,37080.72,1,1234-5678-9012-0938,2024-07-03 16:29:14.521747
CASH_IN,Eve,David,29.73,19118.94,19089.21,38300.25,38329.98,0,1234-5678-9012-0719,2024-09-10 16:29:14.521747
CASH_OUT,Alice,Bob,3200.25,33741.78,30541.53,26934.16,30134.41,0,1234-5678-9012-0645,2024-02-18 16:29:14.521747
CASH_IN,Bob,Charlie,3593.39,24682.67,21089.28,26326.1,29919.489999999998,0,1234-5678-9012-0046,2024-06-13 16:29:14.521747
DEBIT,Eve,John,9603.49,13791.67,4188.18,27543.49,37146.98,1,1234-5678-9012-0909,2024-06-19 16:29:14.521747
DEBIT,Jane,David,3383.14,16746.37,13363.23,29893.87,33277.01,0,1234-5678-9012-0872,2024-04-19 16:29:14.521747
CASH_OUT,Eve,Alice,9244.82,18554.35,9309.529999999999,24555.09,33799.91,1,1234-5678-9012-0830,2023-12-25 16:29:14.521747
TRANSFER,David,Jane,7910.24,12666.73,4756.49,2402.64,10312.88,1,1234-5678-9012-0064,2024-07-08 16:29:14.521747
TRANSFER,Jane,Eve,2654.66,38647.95,35993.28999999999,41643.98,44298.64,0,1234-5678-9012-0618,2024-05-25 16:29:14.521747
DEBIT,Alice,Bob,311.44,23319.78,23008.34,2236.47,2547.91,0,1234-5678-9012-0557,2024-03-22 16:29:14.521747
DEBIT,David,Bob,8443.22,42620.83,34177.61,13653.52,22096.739999999998,0,1234-5678-9012-0760,2023-12-22 16:29:14.521747
PAYMENT,Jane,David,6355.64,17397.33,11041.690000000002,24161.84,30517.48,1,1234-5678-9012-0485,2023-12-12 16:29:14.521747
CASH_OUT,Bob,Charlie,1841.81,15429.95,13588.140000000001,6954.42,8796.23,0,1234-5678-9012-0960,2024-07-01 16:29:14.521747
TRANSFER,David,John,7099.5,38658.39,31558.89,40272.91,47372.41,1,1234-5678-9012-0039,2024-04-10 16:29:14.521747
DEBIT,Jane,David,5076.47,14148.12,9071.650000000001,39903.56,44980.03,0,1234-5678-9012-0746,2024-05-16 16:29:14.521747
TRANSFER,Eve,Jane,4046.8,14755.51,10708.71,22698.78,26745.579999999998,1,1234-5678-9012-0661,2023-12-14 16:29:14.521747
CASH_IN,Eve,Charlie,4626.31,14089.72,9463.41,48415.74,53042.049999999996,0,1234-5678-9012-0755,2024-02-04 16:29:14.521747
CASH_OUT,John,Charlie,418.24,18475.79,18057.55,9878.95,10297.19,0,1234-5678-9012-0510,2023-12-14 16:29:14.521747
CASH_IN,Alice,David,4762.73,43870.46,39107.729999999996,3980.46,8743.189999999999,0,1234-5678-9012-0947,2024-07-27 16:29:14.521747
TRANSFER,Alice,Charlie,5751.26,24306.43,18555.17,3497.02,9248.28,1,1234-5678-9012-0736,2024-08-31 16:29:14.521747
TRANSFER,Charlie,David,1273.28,36843.27,35569.99,4027.92,5301.2,0,1234-5678-9012-0542,2024-09-01 16:29:14.521747
CASH_OUT,David,Jane,3054.1,33187.39,30133.29,19579.08,22633.18,0,1234-5678-9012-0907,2024-07-01 16:29:14.521747
CASH_OUT,Alice,David,5436.73,49856.65,44419.92,16083.56,21520.29,0,1234-5678-9012-0794,2024-03-07 16:29:14.521747
PAYMENT,Eve,David,1054.55,10161.44,9106.890000000001,9506.16,10560.71,0,1234-5678-9012-0154,2023-11-18 16:29:14.521747
DEBIT,Eve,Charlie,931.55,40709.46,39777.909999999996,42982.33,43913.880000000005,0,1234-5678-9012-0856,2024-06-19 16:29:14.521747
TRANSFER,Alice,Jane,6391.64,32388.33,25996.690000000002,45802.0,52193.64,1,1234-5678-9012-0941,2023-09-27 16:29:14.521747
CASH_OUT,Eve,Alice,3735.01,22984.97,19249.96,31124.46,34859.47,0,1234-5678-9012-0358,2024-06-02 16:29:14.521747
TRANSFER,Bob,David,1972.97,38653.34,36680.369999999995,25988.8,27961.77,0,1234-5678-9012-0080,2024-02-11 16:29:14.521747
PAYMENT,David,Alice,8584.08,26311.92,17727.839999999997,2960.98,11545.06,1,1234-5678-9012-0758,2024-03-09 16:29:14.521747
DEBIT,John,David,679.2,18756.29,18077.09,45502.73,46181.93,0,1234-5678-9012-0397,2024-08-19 16:29:14.521747
PAYMENT,Eve,David,4707.82,6637.66,1929.8400000000001,14389.52,19097.34,0,1234-5678-9012-0498,2024-06-16 16:29:14.521747
DEBIT,Jane,Bob,4417.43,5651.61,1234.1799999999994,9825.89,14243.32,1,1234-5678-9012-0786,2024-03-08 16:29:14.521747
TRANSFER,Eve,John,6526.15,2543.08,-3983.0699999999997,40820.21,47346.36,1,1234-5678-9012-0601,2023-10-24 16:29:14.521747
DEBIT,David,Jane,7860.05,3920.02,-3940.03,29735.95,37596.0,1,1234-5678-9012-0077,2024-04-19 16:29:14.521747
